what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1357917598738
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357917600160
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1357917603925
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1357917605628
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1357917606566
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1357917606909
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1357917607347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917607940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917609987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917614580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917643998
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357917687680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917702725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917708693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917735377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917739986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917742470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917743564
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357917743610
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357917759905
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1357917764342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917777856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917779247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917781527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917782590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917799572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917800978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917892529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917918258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917945688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917946500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917956092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357917992161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918037227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918037524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918054255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918108623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918115060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918126043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918128433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918176005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918176098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918177348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918180895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918185707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918190034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918190034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918190425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1357918195799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1357918214937
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1357918215265
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.6,"org.tigris.subversion.clientadapter.javahl",1357918215328
